Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CSA,Central and South America,MEX,Mexico,2020,Female,Age70_74,[70-74],11010.00000000,23.49752433,,821.20299899,
CSA,Central and South America,MEX,Mexico,2020,Female,Age75_79,[75-79],13938.00000000,28.93862636,,1470.98555400,
CSA,Central and South America,MEX,Mexico,2020,Female,Age80_84,[80-84],17699.00000000,35.89915216,,2937.89568390,
CSA,Central and South America,MEX,Mexico,2020,Female,Age85_over,[85+],42540.00000000,48.10149483,,7236.01063460,
CSA,Central and South America,MEX,Mexico,2020,Female,Age_unknown,[Unknown],41.00000000,10.19900498,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age00,[0],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age01_04,[1-4],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age05_09,[5-9],0.00000000,,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age10_14,[10-14],0.00000000,,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age15_19,[15-19],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age20_24,[20-24],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age25_29,[25-29],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age30_34,[30-34],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age35_39,[35-39],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age40_44,[40-44],2.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age45_49,[45-49],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age50_54,[50-54],1.00000000,20.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age55_59,[55-59],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age60_64,[60-64],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age65_69,[65-69],0.00000000,,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age70_74,[70-74],0.00000000,,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age75_79,[75-79],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age80_84,[80-84],0.00000000,0.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age85_over,[85+],1.00000000,4.16666667,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age_unknown,[Unknown],12.00000000,3.60360360,,,
