Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
OA,Oceania,AUS,Australia,1950,Female,Age70_74,[70-74],2679.0,62.41845294,,2665.6716418
OA,Oceania,AUS,Australia,1950,Female,Age75_79,[75-79],3034.0,63.91405098,,4755.4858934
OA,Oceania,AUS,Australia,1950,Female,Age80_84,[80-84],2808.0,63.50067843,,7528.150134
OA,Oceania,AUS,Australia,1950,Female,Age85_over,[85+],2617.0,59.85818847,,13701.570681
OA,Oceania,AUS,Australia,1951,All,Age_all,[All],40308.0,49.28351347,512.75951781,478.62070603
OA,Oceania,AUS,Australia,1951,All,Age00,[0],15.0,0.30750308,,7.91974657
OA,Oceania,AUS,Australia,1951,All,Age01_04,[1-4],26.0,2.02650039,,3.4894645
OA,Oceania,AUS,Australia,1951,All,Age05_09,[5-9],26.0,5.078125,,3.48572195
OA,Oceania,AUS,Australia,1951,All,Age10_14,[10-14],39.0,10.10362694,,6.4388311
OA,Oceania,AUS,Australia,1951,All,Age15_19,[15-19],34.0,5.23076923,,6.19985412
OA,Oceania,AUS,Australia,1951,All,Age20_24,[20-24],63.0,6.26242545,,9.81155583
OA,Oceania,AUS,Australia,1951,All,Age25_29,[25-29],120.0,11.8694362,,17.25873724
OA,Oceania,AUS,Australia,1951,All,Age30_34,[30-34],176.0,15.91320072,,27.56892231
OA,Oceania,AUS,Australia,1951,All,Age35_39,[35-39],360.0,24.08026756,,56.16224649
OA,Oceania,AUS,Australia,1951,All,Age40_44,[40-44],624.0,31.6751269,,109.39691445
OA,Oceania,AUS,Australia,1951,All,Age45_49,[45-49],1112.0,40.14440433,,224.91909385
OA,Oceania,AUS,Australia,1951,All,Age50_54,[50-54],1858.0,45.32812881,,414.91737383
OA,Oceania,AUS,Australia,1951,All,Age55_59,[55-59],2956.0,51.41763785,,722.56172085
OA,Oceania,AUS,Australia,1951,All,Age60_64,[60-64],4382.0,54.4077477,,1200.5479452
OA,Oceania,AUS,Australia,1951,All,Age65_69,[65-69],5472.0,58.43656557,,1991.9912632
OA,Oceania,AUS,Australia,1951,All,Age70_74,[70-74],6259.0,60.93856489,,3248.0539699
OA,Oceania,AUS,Australia,1951,All,Age75_79,[75-79],6385.0,62.14111922,,5466.609589
OA,Oceania,AUS,Australia,1951,All,Age80_84,[80-84],5551.0,62.41988081,,8309.8802395
OA,Oceania,AUS,Australia,1951,All,Age_unknown,[Unknown],17.0,65.38461538,,
OA,Oceania,AUS,Australia,1951,All,Age85_over,[85+],4833.0,60.48811014,,14779.816514
OA,Oceania,AUS,Australia,1951,Male,Age75_79,[75-79],3156.0,59.52470766,,6152.0467836
OA,Oceania,AUS,Australia,1951,Male,Age_unknown,[Unknown],10.0,66.66666667,,
OA,Oceania,AUS,Australia,1951,Male,Age80_84,[80-84],2543.0,59.7790315,,8985.8657244
OA,Oceania,AUS,Australia,1951,Male,Age55_59,[55-59],1905.0,52.36393623,,964.55696203
OA,Oceania,AUS,Australia,1951,Male,Age60_64,[60-64],2792.0,54.48868072,,1565.9001683
OA,Oceania,AUS,Australia,1951,Male,Age65_69,[65-69],3292.0,57.937346,,2520.6738132
OA,Oceania,AUS,Australia,1951,Male,Age70_74,[70-74],3408.0,59.70567624,,3890.4109589
OA,Oceania,AUS,Australia,1951,Male,Age85_over,[85+],1997.0,57.66676292,,15244.274809
OA,Oceania,AUS,Australia,1951,Male,Age_all,[All],21856.0,47.56163907,597.75061776,513.81150528
OA,Oceania,AUS,Australia,1951,Male,Age00,[0],11.0,0.40014551,,11.35190919
OA,Oceania,AUS,Australia,1951,Male,Age01_04,[1-4],11.0,1.54929577,,2.88562434
OA,Oceania,AUS,Australia,1951,Male,Age05_09,[5-9],14.0,4.45859873,,3.67647059
OA,Oceania,AUS,Australia,1951,Male,Age10_14,[10-14],13.0,5.48523207,,4.22077922
OA,Oceania,AUS,Australia,1951,Male,Age15_19,[15-19],20.0,4.17536534,,7.13266762
OA,Oceania,AUS,Australia,1951,Male,Age20_24,[20-24],37.0,5.02717391,,11.19177254
OA,Oceania,AUS,Australia,1951,Male,Age25_29,[25-29],71.0,10.87289433,,19.82132887
OA,Oceania,AUS,Australia,1951,Male,Age30_34,[30-34],102.0,16.29392971,,31.46206046
OA,Oceania,AUS,Australia,1951,Male,Age35_39,[35-39],213.0,24.23208191,,65.27735213
OA,Oceania,AUS,Australia,1951,Male,Age40_44,[40-44],399.0,33.75634518,,134.16274378
OA,Oceania,AUS,Australia,1951,Male,Age45_49,[45-49],701.0,41.33254717,,270.76091155
